Name,Project,Arrangement,Organization,Theme,Year,Periodicity,Requested,Delivered,Established
(Particulier),Bewonersdag IJburg 2017,Subsidieregeling Bewonersinitiatieven,stadsdeel Oost,Participatie,2017,Eenmalig,€ 1.500,€ 1.500,€ 1.500
(Particulier),Een miss verkiezing op basis van kennis,"Basisvoorziening activering, participatie en sociale accommodaties (SD Zuidoost)",stadsdeel Zuidoost,Welzijn en Zorg,2017,Eenmalig,€ 4.163,€ 0,€ 0
(Particulier),Sportactiviteiten,Subsidieregeling bewonersinitiatieven Stadsdeel Zuidoost,stadsdeel Zuidoost,Welzijn en Zorg,2017,Eenmalig,€ 8.600,€ 0,€ 0
(Particulier),Spring Performance Festival (SPF17),"Subsidieregeling gebiedsgebonden kunst- en cultuuractiviteiten, eenmalige (tijdelijke) kunstinitiati",stadsdeel Zuid,Cultuur,2017,Eenmalig,€ 10.310,€ 10.310,€ 10.310
(Particulier),Gratis loopbaanspreekuur Huis van de Wijk Rijnstraat,"Basisvoorziening activering, participatie en sociale accommodaties (SD Zuid)",stadsdeel Zuid,Welzijn en Zorg,2017,Periodiek,€ 14.878,€ 0,€ 0
(Particulier),Bewegings- en stimuleringsprogramma voor vrouwen met obesitas ter bevordering van zelfredzaamheid,"Basisvoorziening activering, participatie en sociale accommodaties (SD Nieuw-West)",stadsdeel Nieuw-West,Welzijn en Zorg,2017,Periodiek,€ 26.000,€ 0,€ 0
(Particulier),JUBILEUMSOFA,"Subsidieregeling gebiedsgebonden kunst- en cultuuractiviteiten, eenmalige (tijdelijke) kunstinitiati",stadsdeel Zuid,Cultuur,2017,Eenmalig,€ 5.000,€ 0,€ 0
(Particulier),Een beeld van een duivel voor duivelseiland,"Subsidieregeling gebiedsgebonden kunst- en cultuuractiviteiten, eenmalige (tijdelijke) kunstinitiati",stadsdeel Zuid,Cultuur,2017,Eenmalig,€ 10.000,€ 0,€ 0
(Particulier),de kunst speelfilm SPUTUM,"Subsidieregeling gebiedsgebonden kunst- en cultuuractiviteiten, eenmalige (tijdelijke) kunstinitiati",stadsdeel Zuid,Cultuur,2017,Eenmalig,€ 15.000,€ 15.000,
(Particulier),Tentoonstelling en performances in de Thomaskerk,"Subsidieregeling gebiedsgebonden kunst- en cultuuractiviteiten, eenmalige (tijdelijke) kunstinitiati",stadsdeel Zuid,Cultuur,2017,Eenmalig,€ 7.000,€ 7.000,
(Particulier),ouderen societeit nieuwendam,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 1.000,€ 851,€ 851
(Particulier),hangende tuinen aan ov palen,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 2.200,€ 0,€ 0
(Particulier),buurtinitiatief Haak In 2017,"Basisvoorziening activering, participatie en sociale accommodaties (SD Oost)",stadsdeel Oost,Welzijn en Zorg,2017,Periodiek,€ 10.538,€ 10.538,
(Particulier),activiteiten voor vrouwen en meisjes,"Basisvoorziening activering, participatie en sociale accommodaties (SD Oost)",stadsdeel Oost,Welzijn en Zorg,2017,Periodiek,€ 16.574,€ 6.840,
(Particulier),Straatfeest barbeque,Subsidieregeling bewonersinitiatieven Stadsdeel Zuid,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 1.500,€ 1.500,€ 1.500
(Particulier),project Kunst en Cultuur in Beweging,"Gebiedsgebonden Kunst en cultuuractiviteiten, Kunst en Cultuur projecten en culturele festivals Sd O",stadsdeel Oost,Cultuur,2017,Eenmalig,€ 5.000,€ 5.000,€ 5.000
(Particulier),Zangkoor Double Dutch,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 1.275,€ 1.275,€ 1.275
(Particulier),zaalvoetbal activiteit,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 2.817,€ 2.817,€ 2.817
(Particulier),Bijlmer Got Talent de zoektocht naar het talent van Zuidoost!,Subsidieregeling bewonersinitiatieven Stadsdeel Zuidoost,stadsdeel Zuidoost,Welzijn en Zorg,2017,Eenmalig,€ 5.000,€ 5.000,€ 5.000
(Particulier),Stichting Juridisch Spreekuur Noord,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 5.000,€ 0,€ 0
(Particulier),Yoga voor ouderen,Subsidieregeling bewonersinitiatieven Stadsdeel Zuid,stadsdeel Zuid,Welzijn en Zorg,2017,Eenmalig,€ 1.615,€ 1.615,€ 1.615
(Particulier),"laagdrempelige spelactiviteiten en/of speluitleen, gecombineerd voorlichting over opvoeden en opgro",Basisvoorziening versterken pedagogische dragende samenleving en (talent)ontwikkeling bij jeugdigen,stadsdeel West,Jeugd,2017,Periodiek,€ 10.000,€ 0,€ 0
(Particulier),Buurtactiviteit: klaverjasavonden 65+,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 500,€ 500,€ 500
